can	罐頭	罐头
back	背部	背部
well	井	井
way out	出口	出口
house	房子	房子
after part	尾部	尾部
still life	靜物	静物
group a	A組	A组
water	水	水
head	頭	头
small	狹小部分	狭小部分
face	臉	脸
car	汽車	汽车
two year old	兩歲的	两岁的
well point	井點	井点
hand	手	手
water back	貯水器	贮水器
well water	井水	井水
two-by-four	截面為英寸2乘4英寸的木材	截面为英寸2乘4英寸的木材
body	身體	身体
office	辦公室	办公室
big game	大獵物	大猎物
room	房間	房间
life support	生命維持	生命维持
air	空氣	空气
free house	賣各種啤酒的酒店	卖各种啤酒的酒店
put-put	噗噗聲	噗噗声
human	人	人
three year old	三週歲的	三周岁的
watch	觀察	观察
public house	酒吧	酒吧
house of god	教堂	教堂
short	扼要	扼要
school system	學校教育制度	学校教育制度
place of business	營業地點	营业地点
big top	大帳篷	大帐篷
right hand	右手	右手
back room	裡屋	里屋
phone	電話	电话
man-of-war	軍艦	军舰
used-car	舊汽車	旧汽车
behind	在後地	在后地
building	建築物	建筑物
body of work	作品體	作品体
works	工程	工程
art	藝術	艺术
air well	通風豎井	通风竖井
car part	汽車零件	汽车零件
street	街道	街道
still room	〈英〉(酒廠的)蒸餾室	〈英〉(酒厂的)蒸馏室
life office	人壽保險業	人寿保险业
country house	別墅	别墅
type a	A型	A型
home court	主場	主场
back saw	鑲邊手鋸	镶边手锯
hand-me-down	傳下來的東西	传下来的东西
human being	人類	人类
home room	本級[班]教室	本级[班]教室
body part	身體部分	身体部分
post house	驛舍	驿舍
little hand	小手	小手
night-line	(夜間垂置水中的)夜釣繩	(夜间垂置水中的)夜钓绳
main	主要部分	主要部分
road	路	路
water system	供水系統	供水系统
power system	電力系統	电力系统
power point	<英>電源插座	<英>电源插座
death house	死刑罪犯牢房	死刑罪犯牢房
top of the line	極品	极品
game room	娛樂室	娱乐室
hard water	硬水	硬水
business line	業務範圍	业务范围
line of business	行業	行业
big hand	長時間的熱烈鼓掌	长时间的热烈鼓掌
white water	白水	白水
back street	背街	背街
life form	生活型	生活型
total	總數	总数
small white	菜粉蝶	菜粉蝶
lost-and-found	失物招領	失物招领
power line	電源線	电源线
work of art	藝術作品	艺术作品
family room	家人休息室	家人休息室
left hand	左手	左手
one shot	一次使用	一次使用
side order	（餐館中）主菜之外另點的小菜	（餐馆中）主菜之外另点的小菜
star	星	星
information system	資訊系統	信息系统
ready-made	現成的	现成的
city university	城市大學	城市大学
go board	去板	去板
government office	政府機構	政府机构
business office	營業廳	营业厅
control system	控制系統	控制系统
work-board	勞動局	劳动局
live body	活體	活体
right field	右外場	右外场
four-in-hand	四馬馬車	四马马车
original	原物	原物
two-man saw	雙人鋸	双人锯
bank	銀行	银行
life-support system	生命維持系統	生命维持系统
high street	主幹道	主干道
two-way street	人和人相互幫助和關心的關係	人和人相互帮助和关心的关系
body of water	貯水池	贮水池
market place	市場位置	市场位置
art school	美術學校	美术学校
ground	土地	土地
night-light	夜燈	夜灯
group b	B組	B组
white room	絕塵室	绝尘室
large white	英國大白豬	英国大白猪
saw set	鋸齒修整器	锯齿修整器
hand line	手繩	手绳
stand	站立	站立
white matter	白質	白质
stuff	原料	原料
round	圓	圆
data system	資料系統	资料系统
picture	圖畫	图画
watch case	錶殼	表壳
felt	毛毯	毛毯
court of law	[法]法院	[法]法院
match	比賽	比赛
step-in	船鞋	船鞋
drive-in	免下車餐館	免下车餐馆
black body	黑體	黑体
rest home	療養院	疗养院
save-all	節約裝置	节约装置
war room	作戰室	作战室
power saw	動力鋸	动力锯
central	中央的	中央的
stop watch	停表	停表
human head	人頭	人头
key	鑰匙	钥匙
follow-up	繼續的	继续的
health food	保健食品	保健食品
short-stop	停顯	停显
field house	運動場的儲藏室或更衣室	运动场的储藏室或更衣室
town house	市內住宅	市内住宅
led	lead的過去式和過去分詞	lead的过去式和过去分词
lower	低的	低的
phone system	單音體系	单音体系
cup	杯子	杯子
half-and-half	兩種成分各半的	两种成分各半的
summer house	避暑別墅	避暑别墅
public works	公共建築	公共建筑
government building	政府大樓	政府大楼
rest house	招待所	招待所
food court	美食廣場	美食广场
big board	紐約證券交易所	纽约证券交易所
oil	油	油
blood	血	血
dog	狗	狗
short line	兩點間的最短路程	两点间的最短路程
human face	人臉	人脸
control room	操縱室	操纵室
release	釋放	释放
left field	<美>左外野	<美>左外野
entire	整個	整个
add-in	附加項	附加项
police car	警察巡邏車	警察巡逻车
add-on	比例附加	比例附加
phone line	電話線	电话线
simple	出身低微者	出身低微者
trade good	貿易好	贸易好
cover	蓋子	盖子
hair	頭髮	头发
door	門	门
side street	背街	背街
dog do	狗糞	狗粪
hand saw	手鋸	手锯
human body	人體	人体
dead end	閉塞不通的一頭	闭塞不通的一头
paper	紙	纸
hospital	醫院	医院
safe	保險箱	保险箱
die	骰子	骰子
bed	床	床
earth	地球	地球
sea	海	海
internet	因特網	因特网
walk-up	無電梯的大樓	无电梯的大楼
ways	方法（way的複數）	方法（way的复数）
room light	室內燈	室内灯
morning room	晨間起居室	晨间起居室
night club	夜總會	夜总会
water main	總水管	总水管
call-board	公告板	公告板
tv set	電視機	电视机
case shot	霰彈	霰弹
oil well	油井	油井
movie house	電影院	电影院
talking book	書刊錄音唱片	书刊录音唱片
side road	旁路	旁路
rest stop	（旅途中在公路旁的）休息	（旅途中在公路旁的）休息
local street	地方街道	地方街道
base	底部	底部
pay-phone	公用自動收費電話亭	公用自动收费电话亭
main line	幹線	干线
service road	便道	便道
meeting place	會場	会场
meeting house	禮拜堂	礼拜堂
piece	塊	块
mine	礦	矿
card	卡片	卡片
security system	安全系統	安全系统
ball	球	球
wall	牆	墙
europe	歐洲	欧洲
food market	菜場	菜场
living-room	起居室	起居室
living room	客廳	客厅
box	盒子	盒子
office building	辦公樓	办公楼
pick-me-up	含酒精飲料	含酒精饮料
land line	陸線	陆线
forget-me-not	勿忘草	勿忘草
hard lead	硬鉛	硬铅
great dog	大犬座	大犬座
